-3;-3;70.1;9.09090909090909
-2.75;-3;70.5;9.09090909090909
-2.5;-3;69.6;9.09090909090909
-2.25;-3;67.6;9.09090909090909
-2;-3;66;9.09090909090909
-1.75;-Infinity;0;0
-1.5;-Infinity;0;0
-1.25;-Infinity;0;0
-1;-Infinity;0;0
-0.75;-Infinity;0;0
-0.5;-3;62.9;9.09090909090909
-0.25;-3;63.1;9.09090909090909
0;-3;63.3;9.09090909090909
0.25;-Infinity;0;0
0.5;-Infinity;0;0
0.75;-Infinity;0;0
1;-Infinity;0;0
1.25;-Infinity;0;0
1.5;-5;75.5;1.51515151515152
1.75;-3;63.9;9.09090909090909
2;-3;63;9.09090909090909
2.25;-3;62.8;9.09090909090909
2.5;-5;70.1;9.09090909090909
2.75;-5;69.3;9.09090909090909
3;-Infinity;0;0
